Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,584.0,1574.0,1886.0,2089.0,2292.0,2701.0,3120.0,3624.0,4393.0,5250.0,5922.0,6877.0,7863.0,9024.0,10747.0,12677.0,14550.0,16952.0,18591.0,20531.0,23488.0,26991.0,29339.0,33303.0,37486.0,41134.0,44852.0,48003.0,52493.0,57050.0,59890.0,63972.0,67062.0,71794.0,78754.0,86159.0,93255.0,100156.0,110141.0,117312.0,125652.0,132125.0,142461.0,155145.0,162080.0,170434.0,178278.0,187610.0,204709.0,217409.0
Total Dental Services Expenditures,1987.0,2103.0,2224.0,2371.0,2616.0,2818.0,2992.0,3446.0,3704.0,4216.0,4711.0,5226.0,5566.0,6379.0,7139.0,8023.0,9042.0,10129.0,11039.0,11984.0,13320.0,15706.0,16971.0,18290.0,19859.0,21694.0,23164.0,25322.0,27394.0,29377.0,31598.0,33397.0,37133.0,39006.0,41558.0,44615.0,46943.0,50292.0,53600.0,57255.0,62066.0,67601.0,73444.0,76005.0,81749.0,86691.0,91146.0,97029.0,101939.0,102307.0,105032.0,107106.0,108771.0,110141.0,112832.0,117522.0
     Out of pocket,1907.0,2018.0,2135.0,2275.0,2516.0,2704.0,2827.0,3150.0,3322.0,3789.0,4241.0,4671.0,4933.0,5605.0,6129.0,6532.0,6963.0,7584.0,7918.0,8237.0,8764.0,10019.0,10496.0,10967.0,11545.0,12227.0,12658.0,13118.0,13845.0,14485.0,15255.0,15736.0,17117.0,17448.0,18276.0,19294.0,20062.0,22059.0,23677.0,25022.0,27407.0,29067.0,31957.0,33347.0,35609.0,37775.0,39640.0,42326.0,44681.0,42561.0,43401.0,44788.0,45415.0,45653.0,46029.0,46875.0
     Health Insurance,64.0,64.0,66.0,71.0,71.0,81.0,146.0,284.0,362.0,403.0,449.0,530.0,604.0,739.0,965.0,1433.0,2009.0,2459.0,3026.0,3647.0,4443.0,5545.0,6327.0,7170.0,8153.0,9280.0,10317.0,12015.0,13364.0,14700.0,16163.0,17460.0,19792.0,21320.0,23026.0,25056.0,26591.0,27921.0,29616.0,31927.0,34312.0,38201.0,41171.0,42372.0,45826.0,48587.0,51155.0,54320.0,56835.0,59258.0,61094.0,61810.0,62831.0,64005.0,66334.0,70200.0
          Private Health Insurance,38.0,37.0,38.0,41.0,43.0,55.0,68.0,104.0,113.0,180.0,212.0,248.0,292.0,378.0,550.0,939.0,1486.0,1909.0,2502.0,3070.0,3781.0,4792.0,5670.0,6505.0,7526.0,8573.0,9551.0,11199.0,12511.0,13813.0,15134.0,16197.0,18271.0,19295.0,20931.0,22875.0,24329.0,25536.0,27025.0,29189.0,31241.0,34283.0,36428.0,37246.0,40333.0,42672.0,44871.0,47276.0,48629.0,49386.0,50173.0,50608.0,51302.0,52017.0,53123.0,54692.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,16.0,17.0,34.0,40.0,54.0,74.0,89.0,99.0,78.0,81.0,86.0,79.0,70.0,71.0,86.0,103.0,164.0,221.0,296.0,242.0,294.0,368.0,478.0,408.0,454.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,43.0,138.0,201.0,168.0,162.0,179.0,183.0,228.0,295.0,364.0,390.0,424.0,392.0,440.0,503.0,581.0,485.0,501.0,456.0,510.0,554.0,591.0,617.0,638.0,756.0,945.0,1196.0,1675.0,1741.0,1807.0,1872.0,1974.0,2129.0,2180.0,2400.0,3090.0,3709.0,4035.0,4264.0,4572.0,4782.0,5211.0,6227.0,7638.0,8401.0,8459.0,8581.0,8817.0,9929.0,11509.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,21.0,67.0,104.0,93.0,87.0,101.0,100.0,120.0,166.0,200.0,233.0,241.0,217.0,247.0,275.0,317.0,264.0,273.0,249.0,277.0,304.0,324.0,345.0,359.0,425.0,529.0,684.0,950.0,960.0,994.0,1042.0,1101.0,1189.0,1226.0,1360.0,1743.0,2087.0,2380.0,2502.0,2624.0,2738.0,2997.0,3742.0,5179.0,5789.0,5204.0,4986.0,5109.0,6185.0,7607.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,22.0,71.0,98.0,75.0,75.0,77.0,83.0,109.0,128.0,164.0,158.0,184.0,175.0,192.0,227.0,264.0,221.0,228.0,207.0,233.0,250.0,267.0,272.0,279.0,331.0,417.0,512.0,724.0,782.0,813.0,830.0,874.0,940.0,954.0,1040.0,1347.0,1622.0,1655.0,1762.0,1948.0,2044.0,2214.0,2485.0,2459.0,2612.0,3255.0,3595.0,3708.0,3744.0,3902.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,146.0,233.0,328.0,452.0,391.0,401.0,463.0,488.0,661.0,702.0,764.0,1039.0,1139.0,1319.0,1503.0,1460.0,1632.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,103.0,165.0,234.0,324.0,283.0,288.0,331.0,348.0,471.0,502.0,544.0,726.0,796.0,921.0,1034.0,1013.0,1226.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,44.0,68.0,94.0,128.0,108.0,113.0,132.0,141.0,190.0,200.0,220.0,313.0,343.0,398.0,469.0,448.0,406.0
         Department of Defense,25.0,26.0,27.0,29.0,27.0,26.0,34.0,41.0,44.0,46.0,50.0,60.0,78.0,80.0,76.0,77.0,77.0,81.0,87.0,97.0,111.0,127.0,142.0,146.0,157.0,183.0,200.0,213.0,225.0,239.0,263.0,292.0,294.0,305.0,303.0,309.0,305.0,309.0,321.0,323.0,346.0,403.0,491.0,614.0,733.0,750.0,843.0,945.0,990.0,1097.0,1167.0,1230.0,1186.0,1091.0,1293.0,1722.0
         Department of Veterans Affairs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,9.0,26.0,43.0,51.0,52.0,44.0,53.0,56.0,44.0,45.0,40.0,49.0,45.0,30.0,18.0,13.0,12.0,11.0,10.0,10.0,8.0,8.0,10.0,14.0,12.0,11.0,12.0,12.0,12.0,11.0,10.0,11.0,12.0,13.0,17.0,26.0,44.0,68.0,62.0,65.0,77.0,73.0,80.0,75.0,99.0,121.0,191.0
     Other Third Party Payers and Programs,16.0,21.0,23.0,25.0,30.0,32.0,19.0,12.0,20.0,23.0,21.0,24.0,29.0,35.0,45.0,58.0,70.0,86.0,94.0,101.0,113.0,142.0,148.0,153.0,161.0,187.0,188.0,189.0,185.0,192.0,180.0,201.0,224.0,238.0,256.0,264.0,290.0,312.0,307.0,307.0,346.0,333.0,317.0,285.0,314.0,329.0,351.0,382.0,422.0,488.0,536.0,509.0,525.0,483.0,468.0,447.0
         Worksite Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Private Revenues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,15.0,19.0,22.0,27.0,27.0,39.0,43.0,44.0,51.0,73.0,81.0,86.0,80.0,84.0,61.0,65.0,68.0,74.0,80.0,82.0,120.0,130.0,134.0,142.0,173.0,141.0,70.0,43.0,49.0,56.0,61.0,64.0,71.0,78.0,78.0,78.0,93.0,77.0,73.0,59.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,16.0,19.0,21.0,22.0,25.0,25.0,27.0,32.0,35.0,33.0,34.0,37.0,34.0,40.0,54.0,66.0,67.0,69.0,78.0,76.0,82.0,82.0,87.0,99.0,112.0,110.0,120.0,129.0,133.0,143.0,146.0,157.0,174.0,189.0,192.0,200.0,198.0,203.0,210.0
         Workers' Compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         General Assistance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,9.0,11.0,13.0,16.0,19.0,23.0,24.0,28.0,37.0,37.0,37.0,47.0,60.0,62.0,64.0,62.0,60.0,55.0,47.0,46.0,52.0,58.0,60.0,64.0,70.0,79.0,76.0,65.0,70.0,61.0,46.0,41.0,45.0,100.0,86.0,100.0,105.0,113.0,134.0,154.0,198.0,233.0,197.0,182.0,157.0,158.0,147.0
         Maternal/Child Health,2.0,3.0,3.0,3.0,2.0,2.0,3.0,6.0,8.0,9.0,8.0,10.0,11.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,18.0,18.0,18.0,17.0,20.0,20.0,22.0,22.0,22.0,21.0,23.0,26.0,26.0,27.0,28.0,28.0,30.0,30.0,32.0,34.0,35.0,36.0,35.0,35.0,35.0,34.0,38.0,41.0,37.0,36.0,34.0,31.0,32.0,32.0,32.0
                          Federal  ,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,5.0,6.0,8.0,6.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0
                          State and Local,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,14.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,23.0,23.0,23.0,22.0,26.0,29.0,26.0,25.0,23.0,21.0,22.0,22.0,22.0
         Vocational Rehabilitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Federal Programs*,7.0,10.0,11.0,13.0,14.0,13.0,7.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,19.0,2.0,0.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other State and Local Programs**,6.0,8.0,8.0,9.0,13.0,16.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         School Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,43.0,138.0,201.0,168.0,162.0,179.0,183.0,228.0,295.0,364.0,390.0,424.0,392.0,440.0,503.0,581.0,485.0,501.0,456.0,511.0,555.0,592.0,618.0,640.0,758.0,961.0,1213.0,1709.0,1781.0,1861.0,1946.0,2063.0,2260.0,2404.0,2714.0,3504.0,4240.0,4496.0,4736.0,5121.0,5373.0,6036.0,7150.0,8698.0,9682.0,9892.0,10268.0,10798.0,11797.0,13595.0
Total Other Professional Services Expenditures,392.0,409.0,429.0,451.0,486.0,533.0,572.0,608.0,644.0,678.0,726.0,793.0,893.0,1022.0,1163.0,1337.0,1564.0,2058.0,2403.0,2847.0,3478.0,4273.0,4917.0,5651.0,7328.0,8113.0,9284.0,11329.0,13722.0,14499.0,17278.0,18559.0,20860.0,22956.0,23974.0,26671.0,28857.0,31275.0,33424.0,34614.0,36647.0,40266.0,43338.0,46523.0,50211.0,52795.0,55264.0,60055.0,64540.0,67152.0,69849.0,72748.0,76429.0,78796.0,82826.0,87715.0
     Out of pocket,341.0,343.0,351.0,361.0,383.0,395.0,389.0,375.0,364.0,348.0,324.0,287.0,310.0,393.0,440.0,643.0,743.0,1021.0,1200.0,1394.0,1699.0,2017.0,2243.0,2470.0,3183.0,3301.0,3596.0,4274.0,5132.0,5199.0,6136.0,6287.0,6867.0,7299.0,7291.0,7797.0,8090.0,9098.0,9765.0,10446.0,10934.0,11637.0,12355.0,13063.0,13834.0,14190.0,14820.0,16190.0,17216.0,17352.0,17982.0,18637.0,19430.0,19845.0,20651.0,21772.0
     Health Insurance,8.0,12.0,16.0,20.0,25.0,30.0,49.0,75.0,84.0,86.0,100.0,128.0,161.0,223.0,286.0,418.0,513.0,690.0,801.0,972.0,1207.0,1559.0,1863.0,2241.0,2986.0,3389.0,4016.0,5065.0,6270.0,6730.0,8339.0,9197.0,10561.0,11989.0,12852.0,14793.0,16458.0,17581.0,19076.0,19583.0,21136.0,23885.0,26027.0,28535.0,31126.0,33175.0,34883.0,37774.0,40916.0,43410.0,45241.0,47390.0,49952.0,51997.0,55165.0,58688.0
          Private Health Insurance,8.0,12.0,16.0,20.0,25.0,30.0,34.0,37.0,40.0,42.0,43.0,49.0,65.0,99.0,130.0,219.0,288.0,445.0,550.0,672.0,859.0,1133.0,1391.0,1681.0,2366.0,2668.0,3150.0,4043.0,5115.0,5452.0,6761.0,7272.0,8328.0,9273.0,9694.0,10840.0,11751.0,12435.0,12741.0,13376.0,14089.0,15520.0,16896.0,18512.0,19797.0,20376.0,21203.0,23140.0,24418.0,24597.0,25377.0,26514.0,27843.0,28168.0,29038.0,30196.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,13.0,15.0,18.0,22.0,27.0,34.0,47.0,63.0,74.0,87.0,106.0,131.0,167.0,201.0,259.0,332.0,383.0,465.0,568.0,680.0,794.0,913.0,1132.0,1376.0,1639.0,1882.0,2299.0,2937.0,3500.0,3835.0,5004.0,4727.0,5406.0,6461.0,6743.0,7469.0,8288.0,9449.0,10212.0,10957.0,12383.0,13764.0,14537.0,15677.0,16893.0,18216.0,19619.0,21230.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,31.0,29.0,40.0,56.0,69.0,90.0,108.0,136.0,150.0,158.0,144.0,169.0,181.0,225.0,214.0,228.0,238.0,256.0,298.0,342.0,362.0,366.0,445.0,549.0,594.0,834.0,859.0,1016.0,1207.0,1311.0,1324.0,1438.0,1585.0,1829.0,2268.0,2442.0,2935.0,3229.0,3295.0,3524.0,3951.0,4874.0,5160.0,4994.0,4989.0,5359.0,6258.0,6973.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,16.0,16.0,21.0,32.0,37.0,47.0,61.0,75.0,86.0,89.0,80.0,95.0,98.0,121.0,115.0,123.0,128.0,138.0,162.0,187.0,202.0,204.0,249.0,304.0,344.0,502.0,499.0,579.0,693.0,748.0,761.0,831.0,912.0,1044.0,1286.0,1456.0,1716.0,1834.0,1875.0,2024.0,2397.0,3293.0,3572.0,3098.0,2900.0,3089.0,3929.0,4518.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,15.0,13.0,18.0,24.0,31.0,43.0,47.0,61.0,65.0,68.0,64.0,75.0,84.0,104.0,99.0,105.0,109.0,118.0,136.0,154.0,160.0,162.0,197.0,245.0,250.0,332.0,361.0,437.0,515.0,563.0,563.0,607.0,673.0,786.0,981.0,985.0,1219.0,1395.0,1420.0,1500.0,1555.0,1581.0,1588.0,1896.0,2089.0,2270.0,2328.0,2455.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,56.0,74.0,120.0,113.0,106.0,121.0,173.0,153.0,163.0,175.0,168.0,205.0,227.0,253.0,250.0,289.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,40.0,52.0,83.0,78.0,74.0,84.0,118.0,106.0,115.0,123.0,119.0,144.0,159.0,175.0,185.0,230.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,16.0,22.0,37.0,34.0,32.0,37.0,55.0,47.0,49.0,52.0,49.0,61.0,68.0,78.0,66.0,59.0
         Department of Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Department of Veterans Affairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
     Other Third Party Payers and Programs,43.0,54.0,62.0,70.0,78.0,108.0,134.0,157.0,195.0,243.0,301.0,378.0,422.0,406.0,437.0,276.0,308.0,347.0,402.0,480.0,572.0,697.0,811.0,940.0,1158.0,1423.0,1672.0,1991.0,2319.0,2570.0,2804.0,3075.0,3431.0,3668.0,3831.0,4080.0,4309.0,4596.0,4583.0,4585.0,4577.0,4744.0,4956.0,4925.0,5251.0,5429.0,5561.0,6091.0,6408.0,6390.0,6626.0,6721.0,7047.0,6954.0,7010.0,7255.0
         Worksite Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Private Revenues,11.0,12.0,13.0,14.0,16.0,19.0,22.0,23.0,26.0,30.0,34.0,38.0,45.0,54.0,64.0,77.0,93.0,117.0,158.0,214.0,275.0,371.0,448.0,536.0,676.0,862.0,1025.0,1214.0,1402.0,1578.0,1685.0,1850.0,2054.0,2220.0,2411.0,2619.0,2805.0,2994.0,2912.0,2816.0,2741.0,2749.0,2895.0,2775.0,3071.0,3290.0,3467.0,3798.0,3929.0,4025.0,4225.0,4288.0,4557.0,4389.0,4470.0,4683.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Workers' Compensation,13.0,14.0,15.0,16.0,17.0,18.0,20.0,23.0,25.0,29.0,32.0,35.0,38.0,46.0,54.0,62.0,73.0,86.0,99.0,117.0,134.0,152.0,177.0,202.0,246.0,284.0,330.0,397.0,482.0,557.0,655.0,713.0,790.0,822.0,769.0,779.0,799.0,846.0,912.0,978.0,1022.0,1135.0,1181.0,1254.0,1259.0,1233.0,1202.0,1271.0,1385.0,1330.0,1382.0,1442.0,1492.0,1494.0,1509.0,1563.0
         General Assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,10.0,14.0,21.0,26.0,41.0,45.0,39.0,42.0,48.0,51.0,59.0,54.0,46.0,41.0,36.0,54.0,49.0,57.0,56.0,58.0,79.0,82.0,92.0,109.0,67.0,77.0,66.0,44.0,40.0,72.0,90.0,76.0
         Maternal/Child Health,16.0,26.0,29.0,33.0,38.0,46.0,60.0,77.0,92.0,102.0,102.0,116.0,126.0,120.0,127.0,134.0,137.0,138.0,139.0,143.0,156.0,165.0,177.0,193.0,224.0,262.0,293.0,351.0,391.0,386.0,422.0,467.0,536.0,571.0,589.0,624.0,655.0,710.0,719.0,733.0,762.0,799.0,818.0,832.0,836.0,818.0,792.0,907.0,1019.0,950.0,944.0,903.0,862.0,904.0,921.0,924.0
                          Federal  ,4.0,7.0,8.0,9.0,11.0,16.0,27.0,39.0,50.0,53.0,46.0,59.0,70.0,63.0,70.0,77.0,79.0,79.0,80.0,79.0,79.0,81.0,84.0,94.0,94.0,110.0,112.0,133.0,149.0,149.0,157.0,166.0,188.0,193.0,194.0,197.0,197.0,201.0,201.0,203.0,203.0,208.0,212.0,210.0,211.0,205.0,196.0,201.0,203.0,199.0,199.0,199.0,196.0,191.0,197.0,198.0
                          State and Local,12.0,19.0,21.0,25.0,28.0,30.0,33.0,37.0,43.0,49.0,56.0,57.0,56.0,57.0,57.0,57.0,58.0,59.0,59.0,64.0,77.0,83.0,93.0,99.0,130.0,152.0,182.0,218.0,242.0,238.0,265.0,300.0,349.0,378.0,395.0,427.0,458.0,508.0,518.0,531.0,559.0,591.0,606.0,623.0,625.0,613.0,596.0,706.0,816.0,751.0,744.0,704.0,666.0,713.0,725.0,726.0
         Vocational Rehabilitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
